"Date","USD/ZAR","GBP/ZAR","EUR/ZAR"
2018-01-01,12.310454,16.640806,14.7787
2018-01-02,12.390942,16.744291,14.884
2018-01-03,12.434303,16.90656,14.9995
2018-01-04,12.360366,16.70207,14.8448
2018-01-05,12.292153,16.663372,14.8354
2018-01-06,12.292153,16.663372,14.8354
2018-01-07,12.292153,16.663372,14.8354
2018-01-08,12.290853,16.686781,14.7945
2018-01-09,12.382874,16.805329,14.8223
2018-01-10,12.340934,16.698616,14.7215
2018-01-11,12.430077,16.796338,14.8614
2018-01-12,12.377761,16.762596,14.9053
2018-01-13,12.377761,16.762596,14.9053
2018-01-14,12.377761,16.762596,14.9053
2018-01-15,12.36893,16.986033,15.0802
2018-01-16,12.298093,16.969182,15.0873
2018-01-17,12.253606,16.90813,15.0364
2018-01-18,12.305811,17.016684,14.9934
2018-01-19,12.125276,16.847621,14.8377
2018-01-20,12.125276,16.847621,14.8377
2018-01-21,12.125276,16.847621,14.8377
2018-01-22,12.078982,16.780775,14.804
2018-01-23,12.052954,16.853508,14.7721
2018-01-24,12.023964,16.850524,14.8015
2018-01-25,11.884109,16.898784,14.7256
2018-01-26,11.914784,16.860569,14.7648
2018-01-27,11.914784,16.860569,14.7648
2018-01-28,11.914784,16.860569,14.7648
2018-01-29,11.860798,16.783104,14.7406
2018-01-30,11.946693,16.815825,14.7912
2018-01-31,11.966398,16.940794,14.8503
2018-02-01,11.847975,16.829464,14.714
2018-02-02,11.842606,16.896784,14.8151
2018-02-03,11.842606,16.896784,14.8151
2018-02-04,11.842606,16.896784,14.8151
2018-02-05,12.05672,17.014739,15.007
2018-02-06,12.110365,16.88815,14.9781
2018-02-07,11.939262,16.665163,14.782
2018-02-08,12.057385,16.734925,14.792
2018-02-09,12.143137,16.922823,14.8887
2018-02-10,12.143137,16.922823,14.8887
2018-02-11,12.143137,16.922823,14.8887
2018-02-12,12.019505,16.618709,14.7275
2018-02-13,11.901577,16.488796,14.6437
2018-02-14,11.957585,16.603799,14.7724
2018-02-15,11.71581,16.420573,14.6061
2018-02-16,11.616603,16.38511,14.5254
2018-02-17,11.616603,16.38511,14.5254
2018-02-18,11.616603,16.38511,14.5254
2018-02-19,11.618595,16.304127,14.421
2018-02-20,11.671022,16.331001,14.4709
2018-02-21,11.724929,16.416232,14.4627
2018-02-22,11.672122,16.23706,14.3357
2018-02-23,11.660664,16.271338,14.3741
2018-02-24,11.660664,16.271338,14.3741
2018-02-25,11.660664,16.271338,14.3741
2018-02-26,11.565557,16.155753,14.2106
2018-02-27,11.565037,16.154588,14.2435
2018-02-28,11.709403,16.284512,14.3206
2018-03-01,11.788697,16.215277,14.3716
2018-03-02,11.855757,16.333446,14.5482
2018-03-03,11.855757,16.333446,14.5482
2018-03-04,11.855757,16.333446,14.5482
2018-03-05,11.915388,16.435708,14.6738
2018-03-06,11.826376,16.382439,14.5902
2018-03-07,11.842393,16.462942,14.7047
2018-03-08,11.835602,16.460065,14.6939
2018-03-09,11.90672,16.43886,14.6536
2018-03-10,11.90672,16.43886,14.6536
2018-03-11,11.90672,16.43886,14.6536
2018-03-12,11.808758,16.361324,14.5354
2018-03-13,11.819773,16.440036,14.5856
2018-03-14,11.785587,16.465276,14.6047
2018-03-15,11.771089,16.447894,14.5679
2018-03-16,11.894305,16.584391,14.6407
2018-03-17,11.894305,16.584391,14.6407
2018-03-18,11.894305,16.584391,14.6407
2018-03-19,11.975083,16.698762,14.7066
2018-03-20,12.018076,16.856185,14.8267
2018-03-21,11.952008,16.743197,14.6436
2018-03-22,11.820133,16.718786,14.5955
2018-03-23,11.8714,16.756184,14.6315
2018-03-24,11.8714,16.756184,14.6315
2018-03-25,11.8714,16.756184,14.6315
2018-03-26,11.70293,16.557261,14.4578
2018-03-27,11.63667,16.568522,14.4958
2018-03-28,11.645229,16.509826,14.4494
2018-03-29,11.769131,16.572638,14.4878
2018-03-30,11.828091,16.594937,14.5521
2018-03-31,11.828091,16.594937,14.5521
2018-04-01,11.828091,16.594937,14.5521
2018-04-02,11.833442,16.613499,14.5717
2018-04-03,11.851704,16.648726,14.5693
2018-04-04,11.826207,16.639624,14.5214
2018-04-05,11.870839,16.724802,14.5857
